Date,Close,Predictions
2020-10-29,919.08,927.2377
2020-10-30,925.47,921.9021
2020-11-02,933.68,928.9541
2020-11-03,935.41,939.4986
2020-11-04,939.76,943.3744
2020-11-05,937.75,947.7892
2020-11-06,938.29,945.86414
2020-11-09,951.99,945.33514
2020-11-10,951.9,958.2304
2020-11-11,952.22,959.85925
2020-11-12,959.28,959.5643
2020-11-13,966.29,965.84485
2020-11-16,950.79,973.3145
2020-11-17,968.9,958.52167
2020-11-18,973.53,973.7503
2020-11-19,983.26,980.8682
2020-11-20,990.0,991.07544
2020-11-23,994.19,998.4623
2020-11-24,995.76,1002.56854
2020-11-25,999.94,1003.5949
2020-11-26,1005.97,1007.1138
2020-11-27,1010.22,1013.13904
2020-11-30,1003.08,1017.729
2020-12-01,1008.87,1010.434
2020-12-02,1014.32,1015.12744
2020-12-03,1019.8,1021.31964
2020-12-04,1021.49,1027.5192
2020-12-07,1029.98,1029.5227
2020-12-08,1029.26,1037.9082
2020-12-09,1039.13,1037.4242
2020-12-10,1030.91,1046.8967
2020-12-11,1045.96,1038.6843
2020-12-14,1064.09,1052.9889
2020-12-15,1055.27,1073.0889
2020-12-16,1066.99,1064.5887
2020-12-17,1051.77,1074.8469
2020-12-18,1067.46,1058.7678
2020-12-21,1081.08,1073.6299
2020-12-22,1083.45,1089.431
2020-12-23,1078.9,1092.5823
2020-12-24,1067.52,1086.8062
2020-12-25,1084.42,1073.4252
2020-12-28,1091.33,1090.615
2020-12-29,1099.49,1099.5885
2020-12-30,1097.54,1108.5583
2020-12-31,1103.87,1106.0469
2021-01-04,1120.47,1111.7372
2021-01-05,1132.55,1129.3745
2021-01-06,1143.21,1142.53
2021-01-07,1156.49,1153.2684
2021-01-08,1167.69,1166.4797
2021-01-11,1184.89,1177.3988
2021-01-12,1192.28,1194.9646
2021-01-13,1186.05,1201.59
2021-01-14,1187.4,1192.6339
2021-01-15,1194.2,1192.9373
2021-01-18,1191.94,1200.4901
2021-01-19,1131.0,1198.0922
2021-01-20,1134.68,1129.3378
2021-01-21,1164.21,1135.1987
2021-01-22,1166.78,1171.7312
2021-01-25,1166.05,1177.4373
2021-01-26,1136.12,1176.2128
2021-01-27,1097.17,1141.2002
2021-01-28,1023.94,1097.0947
2021-01-29,1056.61,1018.3534
2021-02-01,1035.51,1054.7898
2021-02-02,1075.53,1039.8517
2021-02-03,1111.29,1084.3542
2021-02-04,1112.19,1126.8082
2021-02-05,1126.91,1127.7039
2021-02-08,1083.18,1139.1642
2021-02-09,1114.93,1087.9598
2021-02-17,1155.78,1118.5596
2021-02-18,1174.38,1165.2302
2021-02-19,1173.5,1186.7815
2021-02-22,1175.04,1183.2269
2021-02-23,1177.64,1181.664
2021-02-24,1162.01,1182.7947
2021-02-25,1165.43,1164.6919
2021-02-26,1168.47,1168.9952
2021-03-01,1186.17,1173.7832
2021-03-02,1186.61,1194.8258
2021-03-03,1186.95,1195.5466
2021-03-04,1168.52,1195.0204
2021-03-05,1168.69,1173.2463
2021-03-08,1168.27,1173.3945
2021-03-09,1161.97,1173.8066
2021-03-10,1170.08,1167.5956
2021-03-11,1181.73,1177.3324
2021-03-12,1181.56,1190.8387
2021-03-15,1184.56,1190.1691
2021-03-16,1179.9,1192.428
2021-03-17,1186.09,1186.1283
2021-03-18,1200.94,1192.574
2021-03-19,1194.05,1209.2277
2021-03-22,1194.43,1200.7102
2021-03-23,1183.45,1200.3188
2021-03-24,1161.81,1187.4331
2021-03-25,1163.1,1163.2556
2021-03-26,1162.21,1166.1682
2021-03-29,1175.68,1167.102
2021-03-30,1186.36,1183.6973
2021-03-31,1191.44,1196.1804
2021-04-01,1216.1,1200.9816
2021-04-02,1224.45,1227.4154
2021-04-05,1236.05,1234.7289
2021-04-06,1239.96,1245.368
2021-04-07,1242.38,1247.2661
2021-04-08,1234.89,1248.171
2021-04-09,1231.66,1238.3959
2021-04-12,1252.45,1234.8438
2021-04-13,1248.33,1259.8732
2021-04-14,1255.87,1254.734
2021-04-15,1247.25,1263.2915
2021-04-16,1238.71,1252.307
2021-04-19,1260.58,1242.4117
2021-04-20,1268.28,1268.7776
2021-04-22,1227.82,1277.1189
2021-04-23,1248.53,1228.37
2021-04-26,1215.77,1254.4261
2021-04-27,1219.75,1216.2596
2021-04-28,1229.55,1223.5419
2021-04-29,1239.39,1236.3971
2021-05-04,1242.2,1248.3218
2021-05-05,1256.43,1250.6984
2021-05-06,1250.57,1265.8582
2021-05-07,1241.81,1256.8185
2021-05-10,1259.58,1245.4023
2021-05-11,1256.04,1266.2075
2021-05-12,1269.09,1261.2427
2021-05-13,1261.99,1276.3705
2021-05-14,1266.36,1266.7433
2021-05-17,1258.7,1271.6871
2021-05-18,1252.68,1262.2261
2021-05-19,1262.49,1255.7465
2021-05-20,1278.22,1268.2692
2021-05-21,1283.93,1286.8474
2021-05-24,1297.98,1292.2836
2021-05-25,1308.58,1307.2174
2021-05-26,1316.7,1317.2091
2021-05-27,1303.57,1324.296
2021-05-28,1320.46,1306.1941
2021-05-31,1328.05,1326.7007
2021-06-01,1337.78,1334.3109
2021-06-02,1340.78,1344.9403
2021-06-03,1364.28,1346.728
2021-06-04,1374.05,1373.9329
2021-06-07,1358.78,1382.2047
2021-06-08,1319.88,1360.6672
2021-06-09,1332.9,1313.79
2021-06-10,1323.58,1335.3121
2021-06-11,1351.74,1325.1753
2021-06-14,1361.72,1362.1885
2021-06-15,1367.36,1371.6744
2021-06-16,1356.52,1375.8507
2021-06-17,1359.92,1359.6681
2021-06-18,1377.77,1363.7012
2021-06-21,1372.63,1384.866
2021-06-22,1379.97,1376.1401
2021-06-23,1376.87,1385.0363
2021-06-24,1379.72,1379.656
2021-06-25,1390.12,1383.2614
2021-06-28,1405.81,1395.623
2021-06-29,1410.04,1413.4196
2021-06-30,1408.55,1415.6376
2021-07-01,1417.08,1411.7816
2021-07-02,1420.27,1421.5548
2021-07-05,1411.13,1423.7662
2021-07-06,1354.79,1411.4906
2021-07-07,1388.55,1342.5737
2021-07-08,1374.68,1394.5917
2021-07-09,1347.14,1375.4626
2021-07-12,1296.3,1344.8094
2021-07-13,1297.54,1286.9602
2021-07-14,1279.91,1297.3219
2021-07-15,1293.92,1279.565
2021-07-16,1299.31,1300.8259
2021-07-19,1243.51,1307.2115
2021-07-20,1273.29,1239.2847
2021-07-21,1270.79,1279.11
2021-07-22,1293.67,1275.1833
2021-07-23,1268.83,1302.6754
2021-07-26,1272.71,1270.3169
2021-07-27,1276.93,1275.4266
2021-07-28,1277.07,1280.0858
2021-07-29,1293.6,1280.2399
2021-07-30,1310.05,1299.9421
2021-08-02,1314.22,1318.0024
2021-08-03,1332.44,1320.4464
2021-08-04,1334.74,1340.2527
2021-08-05,1345.55,1339.7885
2021-08-06,1341.45,1351.1776
2021-08-09,1359.86,1344.0668
2021-08-10,1362.43,1366.3313
2021-08-11,1357.79,1367.1772
2021-08-12,1353.05,1360.6122
2021-08-13,1357.05,1354.9686
2021-08-16,1370.96,1360.7446
2021-08-17,1363.09,1377.9075
2021-08-18,1360.94,1366.6683
2021-08-19,1374.85,1364.4877
2021-08-20,1329.43,1381.6208
2021-08-23,1298.86,1324.1129
2021-08-24,1298.74,1293.0149
2021-08-25,1309.55,1298.8533
2021-08-26,1301.12,1315.3634
2021-08-27,1313.2,1306.136
2021-08-30,1328.14,1321.4977
2021-08-31,1331.47,1337.6938
2021-09-01,1334.65,1338.7775
2021-09-06,1346.39,1340.2279
2021-09-07,1341.9,1352.4741
2021-09-08,1333.61,1344.5874
2021-09-09,1343.98,1334.1328
2021-09-10,1345.31,1347.644
2021-09-13,1341.43,1348.6587
2021-09-14,1339.7,1343.962
2021-09-15,1345.83,1342.3119
2021-09-16,1345.87,1350.247
2021-09-17,1352.64,1349.8732
2021-09-20,1350.48,1358.0457
2021-09-21,1339.84,1354.3237
2021-09-22,1350.68,1341.1791
2021-09-23,1352.76,1355.6461
2021-09-24,1351.17,1357.3025
2021-09-27,1324.99,1355.0239
2021-09-28,1339.31,1322.9065
2021-09-29,1339.21,1343.7715
2021-09-30,1342.06,1343.1873
2021-10-01,1334.89,1347.1172
2021-10-04,1339.54,1337.81
2021-10-05,1354.63,1343.9827
2021-10-06,1362.82,1361.7867
2021-10-07,1365.99,1369.6576
2021-10-08,1372.73,1371.3503
2021-10-11,1394.09,1377.843
2021-10-12,1394.8,1402.2119
2021-10-13,1391.91,1399.2516
2021-10-14,1391.85,1394.1337
2021-10-15,1392.7,1393.5972
2021-10-18,1395.53,1394.7089
2021-10-19,1395.33,1398.5189
2021-10-20,1393.8,1398.2075
2021-10-21,1384.77,1396.4814
2021-10-22,1389.24,1385.6085
2021-10-25,1385.4,1392.7689
2021-10-26,1391.63,1387.8763
2021-10-27,1423.02,1396.401
2021-10-28,1438.01,1434.3492
2021-10-29,1444.27,1447.5784
2021-11-01,1438.97,1450.6597
2021-11-02,1452.46,1440.2847
2021-11-03,1444.3,1456.562
2021-11-04,1448.34,1443.5483
2021-11-05,1456.51,1449.9869
2021-11-08,1467.57,1459.8182
2021-11-09,1461.5,1472.6176
2021-11-10,1465.02,1462.592
2021-11-11,1462.35,1467.4905
2021-11-12,1473.37,1463.1742
2021-11-15,1476.57,1477.6993
2021-11-16,1466.45,1479.6691
2021-11-17,1475.85,1465.7567
2021-11-18,1469.83,1479.1727
2021-11-19,1452.35,1469.7571
2021-11-22,1447.25,1448.7264
2021-11-23,1463.63,1445.9014
2021-11-24,1488.87,1468.6422
2021-11-25,1500.81,1498.4373
2021-11-26,1493.03,1508.1307
2021-11-29,1484.84,1493.5096
2021-11-30,1478.44,1482.4067
2021-12-01,1485.19,1475.2681
2021-12-02,1482.05,1485.8887
2021-12-03,1443.32,1481.5035
2021-12-06,1413.58,1433.1467
2021-12-07,1446.77,1403.8917
2021-12-08,1452.87,1453.6962
2021-12-09,1467.98,1458.2576
2021-12-10,1463.54,1476.266
2021-12-13,1476.21,1465.9384
2021-12-14,1476.02,1480.7776
2021-12-15,1475.5,1476.7753
2021-12-16,1476.61,1475.2202
2021-12-17,1479.79,1476.2051
2021-12-20,1477.33,1480.0669
2021-12-21,1478.74,1476.491
2021-12-22,1477.67,1478.9092
2021-12-23,1456.96,1477.467
2021-12-24,1477.03,1451.505
2021-12-27,1488.88,1481.5745
2021-12-28,1494.39,1493.6334
2021-12-29,1485.82,1498.2202
2021-12-30,1485.97,1484.8268
2021-12-31,1498.28,1485.6812
2022-01-04,1525.58,1501.2253
2022-01-05,1522.5,1533.8094
2022-01-06,1528.57,1523.5746
2022-01-07,1528.48,1530.2817
2022-01-10,1528.58,1527.559
